Reference,Quantity,Description,Manufacturer,MPN,Package,Automotive grade,AEC qualification,Lifecycle status,Supplier 1,Supplier 2,Unit price 1,Unit price 10,Unit price 100,DNP status,Alternative part,Reason,Notes,Scope,Source,Checked date
DISP1,1,1024x600 display controller,Waveshare,ESP32-S3-Touch-LCD-5B,Module,Not established,Not established,Listed by manufacturer,Waveshare,TBD,TBD,TBD,TBD,No,TBD,Retain specified display,Physical purchase variant/revision unconfirmed,Prototype,https://docs.waveshare.com/ESP32-S3-Touch-LCD-5,2026-09-20
U1,1,Ideal diode and circuit breaker controller,Texas Instruments,LM74900-Q1,VQFN24,Yes,AEC-Q100 Grade1,ACTIVE,Texas Instruments,TBD,TBD,TBD,TBD,No,TBD,Preferred protection architecture,Orderable suffix and footprint to be frozen,Production intent,https://www.ti.com/product/LM74900-Q1,2026-09-20
U2,1,K-Line transceiver,ST,L9637D family,SO8,NEEDS VERIFICATION,NEEDS VERIFICATION,NEEDS VERIFICATION,ST,TBD,TBD,TBD,TBD,No,E-L9637D,Specified K-Line PHY,Orderable code and lifecycle need procurement confirmation,Production intent,https://www.st.com/resource/en/datasheet/l9637.pdf,2026-09-20
U3,1,6-axis IMU,TDK InvenSense,ICM-42688-P,Footprint pending datasheet audit,No claim,No claim,Production,Authorized distributor TBD,TBD,TBD,TBD,TBD,No,TBD,Current production candidate,Manufacturer lifecycle checked; availability and package drawing not frozen,Production intent,https://www.invensense.tdk.com/en-us/products/6-axis/icm-42688-p,2026-09-20
U4,1,Warning amplifier,Analog Devices,MAX98357A,TQFN candidate,No claim,No claim,Production,Analog Devices,TBD,TBD,TBD,TBD,No,TBD,Independent warning audio,Exact suffix and speaker power/EMI design TBD,Production intent,https://www.analog.com/en/products/max98357a.html,2026-09-20
GNSS1,1,GNSS prototype module,Waveshare / Quectel,LC76G family,Module,TBD,TBD,NEEDS VERIFICATION,Waveshare,TBD,TBD,TBD,TBD,No,TBD,Specified GNSS family,Exact variant antenna supply and pinout need audit,Prototype,TBD,2026-09-20
U5,1,I2C companion controller,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Unselected,TBD,Host lacks exposed UART and I2S,Must meet timing low-power and reset-safe requirements,Production intent,TBD,2026-09-20
Q1 Q2,2,Automotive external N-channel FET,TBD,TBD,TBD,Required,AEC-Q101 required,TBD,TBD,TBD,TBD,TBD,TBD,Unselected,TBD,Reverse and load disconnect,Rating SOA Rds and transient coordination pending,Production intent,TBD,2026-09-20
F1 D1 RS1,3,Fuse TVS current shunt,TBD,TBD,TBD,Required,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Unselected,TBD,Input protection,Choose after measured current and transient envelope,Production intent,TBD,2026-09-20
U6 U7,2,Protected 5V and 3V3 regulators,TBD,TBD,TBD,Required,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Unselected,TBD,Independent accessory rails,Efficiency thermal and standby budget pending,Production intent,TBD,2026-09-20
J1 J2 J3,3,Harness display service connectors,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Unselected,TBD,Keyed serviceable interconnect,All16 vehicle pins plus separate optional ACC,Production intent,TBD,2026-09-20
ESD_CAN,1,CAN automotive protection,TBD,TBD,TBD,Required,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Unselected,TBD,Connector-side transient control,Capacitance and onboard network coordination pending,Production intent,TBD,2026-09-20
R_TERM JP_TERM,2,120ohm bench termination and jumper,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Yes,TBD,Bench only,Always DNP/open for vehicle assembly; onboard switch OFF,Production intent,TBD,2026-09-20
SPK1,1,4ohm warning speaker,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Unselected,TBD,Independent local warning,Power acoustics mounting and wire EMI TBD,Production intent,TBD,2026-09-20
PHY_J1850 PHY_L,2,Future J1850 and active L-Line driver,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Yes,TBD,Future expansion,Not supported in RevA,Future,TBD,2026-09-20
